View Name,URL Pattern,Template
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
app_index,^(?P<app_label>auth|product_management|security|talent|commerce|social_django)/$,N/A
catch_all_view,(?P<url>.*)$,N/A
home,,N/A
about,about/,N/A
privacy_policy,privacy-policy/,N/A
terms_of_use,terms-of-use/,N/A
enterprise_customers,enterprise-customers/,N/A
introduction,,N/A
chapter1,chapter-1/,N/A
reset_tree,reset-tree/,N/A
update_node,update-node/<int:pk>,N/A
add_root_node,add-node/<str:tree_id>/root,N/A
add_node,add-node/<int:parent_id>/child,N/A
delete_node,delete-node/<int:pk>,N/A
RedirectView,canopy,N/A
version_view,version/,N/A
TalentShowcase,showcase/<str:username>/,talent/showcase.html
UpdateProfileView,profile/<int:pk>/,N/A
get_skills,get-skills/,N/A
get_current_skills,get-current-skills/,N/A
GetExpertiseView,get-expertise/,talent/helper/expertises.html
get_current_expertise,get-current-expertise/,N/A
list_skill_and_expertise,list-skill-and-expertise/,N/A
status_and_points,status-and-points,N/A
CreateFeedbackView,feedback/create/,talent/partials/feedback_form.html
UpdateFeedbackView,feedback/update/<int:pk>/,talent/partials/feedback_form.html
DeleteFeedbackView,feedback/delete/<int:pk>,talent/partials/delete_feedback_form.html
CreateBountyDeliveryAttemptView,<str:product_slug>/challenges/<int:challenge_id>/bounties/<int:bounty_id>/submissions/create,talent/bounty_claim_attempt.html
BountyDeliveryAttemptDetail,<str:product_slug>/challenges/<int:challenge_id>/bounties/<int:bounty_id>/submissions/<int:pk>/,talent/bounty_delivery_attempt_detail.html
RedirectView,freshlatte,N/A
SignUpWizard,sign-up/,security/sign_up/sign_up.html
SignInView,sign-in/,security/sign_in/sign_in.html
LogoutView,log-out/,security/logout.html
PasswordResetRequiredView,password-reset-required/,security/sign_in/password_reset_required.html
PasswordResetView,password-reset/,security/password_reset/password_reset.html
PasswordResetDoneView,password-reset/done/,security/password_reset/password_reset_done.html
PasswordResetConfirmView,password-reset-confirm/<uidb64>/<token>/,security/password_reset/password_reset_confirm.html
PasswordResetCompleteView,password-reset-complete/,security/password_reset/password_reset_complete.html
redirect_challenge_to_bounties,^challenges/.*$,N/A
ProductListView,products/,product_management/products.html
ChallengeDetailView,product/<str:product_slug>/challenge/<int:pk>/,product_management/challenge_detail.html
UpdateChallengeView,product/<str:product_slug>/challenge/update/<int:pk>/,product_management/update_challenge.html
DeleteChallengeView,product/<str:product_slug>/challenge/delete/<int:pk>/,product_management/delete_challenge.html
BountyDetailView,product/<str:product_slug>/challenge/<int:challenge_id>/bounty/<int:pk>,product_management/bounty_detail.html
CreateBountyView,product/<str:product_slug>/challenge/<int:challenge_id>/bounty/create/,product_management/create_bounty.html
DeleteBountyView,product/<str:product_slug>/challenge/<int:challenge_id>/bounty/delete/<int:pk>,N/A
BountyClaimView,bounty-claim/<int:pk>/,N/A
CreateProductView,product/create,product_management/create_product.html
UpdateProductView,product/<int:pk>/update/,product_management/update_product.html
CreateOrganisationView,organisation/create,product_management/create_organisation.html
ProductRedirectView,product/<str:product_slug>/,N/A
ProductSummaryView,product/<str:product_slug>/summary/,product_management/product_summary.html
ProductInitiativesView,product/<str:product_slug>/initiatives,product_management/product_initiatives.html
ProductChallengesView,product/<str:product_slug>/challenges,product_management/product_challenges.html
BountyListView,bounties,N/A
ProductBountyListView,product/<str:product_slug>/bounties,N/A
ProductTreeInteractiveView,product/<str:product_slug>/tree,product_management/product_tree.html
ProductAreaCreateView,product/<str:product_slug>/product-areas,product_tree/components/partials/create_node_partial.html
ProductAreaUpdateView,product/<str:product_slug>/product-areas/<int:pk>/update,product_management/product_area_detail.html
ProductAreaDetailView,product/<str:product_slug>/product-areas/<int:pk>/detail,product_management/product_area_detail.html
ProductIdeaListView,product/<str:product_slug>/idea-list,product_management/product_idea_list.html
ProductBugListView,product/<str:product_slug>/bug-list,product_management/product_bug_list.html
ProductIdeasAndBugsView,product/<str:product_slug>/ideas-and-bugs,product_management/product_ideas_and_bugs.html
CreateProductIdea,product/<str:product_slug>/ideas/new,product_management/add_product_idea.html
ProductIdeaDetail,product/<str:product_slug>/idea/<int:pk>,product_management/product_idea_detail.html
UpdateProductIdea,product/<str:product_slug>/ideas/update/<int:pk>,product_management/update_product_idea.html
CreateProductBug,product/<str:product_slug>/bugs/new,product_management/add_product_bug.html
ProductBugDetail,product/<str:product_slug>/bug/<int:pk>,product_management/product_bug_detail.html
UpdateProductBug,product/<str:product_slug>/bugs/update/<int:pk>,product_management/update_product_bug.html
ProductRoleAssignmentView,product/<str:product_slug>/people,product_management/product_people.html
ProductIdeasAndBugsView,product/<str:product_slug>/ideas-bugs/,product_management/product_ideas_and_bugs.html
CreateInitiativeView,product/<str:product_slug>/initiative/create,product_management/create_initiative.html
InitiativeDetailView,product/<str:product_slug>/initiative/<int:pk>,product_management/initiative_detail.html
ContributorAgreementTemplateView,product/<str:product_slug>/contributor-agreement/<int:pk>,product_management/contributor_agreement_template_detail.html
CreateContributorAgreementTemplateView,product/<str:product_slug>/contributor-agreement/create/,product_management/create_contributor_agreement_template.html
cast_vote_for_idea,cast-vote-for-idea/<int:pk>,N/A
DeleteBountyClaimView,delete/bounty/claim/,N/A
UpdateBountyView,update/bounty/,product_management/update_bounty.html
auth,login/<str:backend>/,N/A
complete,complete/<str:backend>/,N/A
disconnect,disconnect/<str:backend>/,N/A
disconnect,disconnect/<str:backend>/<int:association_id>/,N/A
flatpages_link_list,flatpages_link_list/,N/A
compressor,compressor/,N/A
filebrowser,filebrowser/,N/A
ProductTreeView,product-tree,unauthenticated_tree/index.html
ProductTreeView,product-tree/,unauthenticated_tree/index.html
ProductTreeUpdateView,product-tree/share/<str:pk>,unauthenticated_tree/index.html
LogoutView,logout/,registration/logged_out.html
PortalDashboardView,,portal/dashboard.html
PortalProductDetailView,products/<slug:slug>/,portal/products/detail.html
PortalProductSettingsView,products/<slug:slug>/settings/,portal/products/settings.html
PortalManageUsersView,products/<slug:slug>/users/,portal/products/users/manage.html
PortalAddProductUserView,products/<slug:slug>/users/add/,portal/products/users/add.html
PortalUpdateProductUserView,products/<slug:slug>/users/<int:user_id>/,portal/products/users/update.html
PortalBountyListView,products/<slug:slug>/bounties/,portal/bounties/list.html
PortalMyBountiesView,products/<slug:slug>/bounties/my/,portal/bounties/my_bounties.html
PortalBountyClaimView,products/<slug:slug>/bounties/<int:pk>/claims/,portal/bounties/claims.html
PortalChallengeListView,products/<slug:slug>/challenges/,portal/challenges/manage.html
PortalWorkReviewView,products/<slug:slug>/work/review/,portal/work/review.html
PortalAgreementTemplatesView,products/<slug:slug>/agreements/templates/,portal/agreements/templates.html
PortalProductListView,products/,portal/products/list.html
BountyClaimActionView,products/<slug:slug>/bounties/<int:pk>/claims/<int:claim_id>/actions/,N/A
ChallengeAuthoringView,product/<str:product_slug>/flows/challenge-authoring/create/,main.html
SkillsListView,product/<str:product_slug>/flows/challenge-authoring/skills/,N/A
ExpertiseListView,product/<str:product_slug>/flows/challenge-authoring/skills/<int:skill_id>/expertise/,N/A
BountyModalView,product/<str:product_slug>/flows/challenge-authoring/bounty-modal/,N/A
serve,^media/(?P<path>.*)$,N/A
